"lang"
{
	"Language"		"English"
	"Tokens"
	{
		"game_mode_15"				"BAREBONES"
		"addon_game_name"			"BAREBONES"

		//"DOTA_Basics"							"ABILITIES"
		//"DOTA_Upgrades"							"ITEMS"
		//"DOTA_Shop_Category_Basics"				"ABILITIES"
		//"DOTA_Shop_Category_Upgrades"			"ITEMS"

		//--------------------
		//Abilities
		//--------------------
		"DOTA_Tooltip_ability_example_ability"									"Detonation"
		"DOTA_Tooltip_ability_example_ability_Description"						"Detonator channels a charge and releases an explosion around the caster if the channel is successful, dealing damage and knocking back all enemies in range of the explosion"
		"DOTA_Tooltip_ability_example_ability_Lore"								""
		"DOTA_Tooltip_ability_example_ability_duration"							"DURATION:"
		"DOTA_Tooltip_ability_example_ability_radius"							"RADIUS:"
		"DOTA_Tooltip_ability_example_ability_distance"							"KNOCKBACK DISTANCE:"
		"DOTA_Tooltip_ability_example_ability_height"							"KNOCKBACK HEIGHT:"

		"DOTA_Tooltip_ability_shadow_bolt"										"Shadow Bolt"
		"DOTA_Tooltip_ability_shadow_bolt_Description"							"A bolt of dark energy."
		"DOTA_Tooltip_ability_shadow_bolt_Lore"									""

		"DOTA_Tooltip_ability_holy_form"										"Holy Form"
		"DOTA_Tooltip_ability_holy_form_Description"							"You become a being of light, invulnerable to attack. Nearby allies are healed. Nearby enemies are damaged."
		"DOTA_Tooltip_ability_holy_form_Lore"									""
		"DOTA_Tooltip_ability_holy_form_think_interval"							"TICK RATE:"
		"DOTA_Tooltip_ability_holy_form_ability_heal"							"HEAL:"

		"DOTA_Tooltip_ability_holy_nova"										"Holy Nova"
		"DOTA_Tooltip_ability_holy_nova_Description"							"A large area of effect damage/heal"
		"DOTA_Tooltip_ability_holy_nova_Lore"									""
		"DOTA_Tooltip_ability_holy_nova_duration"								"DURATION:"
		"DOTA_Tooltip_ability_holy_nova_radius"									"RADIUS:"
		"DOTA_Tooltip_ability_holy_nova_damage"									"DAMAGE:"
		"DOTA_Tooltip_ability_holy_nova_channel_time"							"CHANNEL TIME:"

		"DOTA_Tooltip_ability_purge_heal"										"Purifying Light"
		"DOTA_Tooltip_ability_purge_heal_Description"							"A heal that also dispels debuffs on the target."
		"DOTA_Tooltip_ability_purge_heal_Lore"									""
		"DOTA_Tooltip_ability_purge_heal_heal_amount"							"HEAL:"

		"DOTA_Tooltip_ability_crippling_attacks"								"Crippling Attacks"
		"DOTA_Tooltip_crippling_attacks"										"Crippling Attacks"
		"DOTA_Tooltip_ability_crippling_attacks_Description"					"The assassin's attacks cripple her enemies. Attacking enemies from behind deals bonus damage. Attacking enemies from the front blinds them."
		"DOTA_Tooltip_ability_crippling_attacks_Lore"							""
		"DOTA_Tooltip_ability_crippling_attacks_blind_miss_rate"				"BLIND MISS RATE:"
		"DOTA_Tooltip_ability_crippling_attacks_blind_duration"					"BLIND DURATION:"
		"DOTA_Tooltip_ability_crippling_attacks_rear_attack_bonus_damage"		"BONUS DAMAGE:"

		"DOTA_Tooltip_ability_templar_assassin_blink"							"Blink"
		"DOTA_Tooltip_templar_assassin_blink"									"Blink"
		"DOTA_Tooltip_ability_templar_assassin_blink_Description"				"The assassin shifts quickly through the air, appearing instantly at the target location."
		"DOTA_Tooltip_ability_templar_assassin_blink_Lore"						""
		"DOTA_Tooltip_ability_templar_assassin_blink_distance"					"Distance:"

		"DOTA_Tooltip_ability_electric_fence"									"Electric Trap"
		"DOTA_holy_novaTooltip_electric_fence"									"Laying Electric Trap"
		"DOTA_Tooltip_ability_electric_fence_Description"						"The assassin weaves a trap of electricity. The trap is placed where she moves. When laying the trap, the assassin's movement speed is greatly increased. Enemies caught in the trap are slowed, stunned, and take damage over time."
		"DOTA_Tooltip_ability_electric_fence_Lore"				""
		"DOTA_Tooltip_ability_electric_fence_duration_laying"					"PLACEMENT DURATION:"
		"DOTA_Tooltip_ability_electric_fence_duration_fence"					"TRAP DURATION:"
		"DOTA_Tooltip_ability_electric_fence_speed_bonus"						"SPEED PERCENT:"
		"DOTA_Tooltip_ability_electric_fence_slow_percentage"					"SLOW PERCENT:"
		"DOTA_Tooltip_ability_electric_fence_duration_stun"						"STUN DURATION:"
		"DOTA_Tooltip_ability_electric_fence_tick_rate"							"TICK RATE:"
		"DOTA_Tooltip_ability_electric_fence_damage"							"TICK DAMAGE:"

		"DOTA_Tooltip_ability_fury_swipes"										"Fury Slashes"
		"DOTA_Tooltip_fury_swipes"												"Fury Slashes"
		"DOTA_Tooltip_ability_fury_swipes_Description"							"A channeled attack in which the assassin slashes wildly, dealing repeated heavy damage to nearby enemies."
		"DOTA_Tooltip_ability_fury_swipes_Lore"									""
		"DOTA_Tooltip_ability_fury_swipes_damage_radius"						"RADIUS:"
		"DOTA_Tooltip_ability_fury_swipes_tick_rate"							"TICK RATE:"

		"DOTA_Tooltip_ability_red_fireball_datadriven"							"Fire Barrage"
		"DOTA_Tooltip_red_fireball_datadriven"									"Fire Barrage"
		"DOTA_Tooltip_ability_red_fireball_datadriven_Description"				"The mage shoots a stream of fireballs at the target. The fireballs damage what they hit and deal splash damage in a radius."
		"DOTA_Tooltip_ability_red_fireball_datadriven_Lore"						""
		"DOTA_Tooltip_ability_red_fireball_datadriven_damage"					"DAMAGE:"
		"DOTA_Tooltip_ability_red_fireball_datadriven_splash_damage"			"SPLASH DAMAGE:"
		"DOTA_Tooltip_ability_red_fireball_datadriven_damage_radius"			"DAMAGE RADIUS:"

		"DOTA_Tooltip_ability_deafening_blast_datadriven"						"Deafening Blast"
		"DOTA_Tooltip_deafening_blast_datadriven"								"Deafening Blast"
		"DOTA_Tooltip_ability_deafening_blast_datadriven_Description"			"The mage shoots a blash of energy that damages and disorients enemies."
		"DOTA_Tooltip_ability_deafening_blast_datadriven_Lore"					""
		"DOTA_Tooltip_ability_deafening_blast_datadriven_damage"				"DAMAGE:"
		"DOTA_Tooltip_ability_deafening_blast_datadriven_knockback_duration"	"DURATION:"

		"DOTA_Tooltip_ability_flamestrike_datadriven"							"Flamestrike"
		"DOTA_Tooltip_flamestrike_datadriven"									"Flamestrike"
		"DOTA_Tooltip_ability_flamestrike_datadriven_Description"				"The mage creates a fiery explosion. After a delay enemies are damaged while the earth continues to smolder."
		"DOTA_Tooltip_ability_flamestrike_datadriven_Lore"						""
		"DOTA_Tooltip_ability_flamestrike_datadriven_damage"					"SMOLDER DAMAGE:"
		"DOTA_Tooltip_ability_flamestrike_datadriven_tick_rate"					"SMOLDER DAMAGE RATE:"
		"DOTA_Tooltip_ability_flamestrike_datadriven_radius"					"RADIUS:"
		"DOTA_Tooltip_ability_flamestrike_datadriven_delay"						"DELAY:"

		"DOTA_Tooltip_ability_crystal_maiden_freezing_field_datadriven"							"Blizzard"
		"DOTA_Tooltip_crystal_maiden_freezing_field_datadriven"									"Blizzard"
		"DOTA_Tooltip_ability_crystal_maiden_freezing_field_datadriven_Description"				"The mage creates a blizzard around him. Enemies are damaged, move slower, and attack slower."
		"DOTA_Tooltip_ability_crystal_maiden_freezing_field_datadriven_Lore"					""
		"DOTA_Tooltip_ability_crystal_maiden_freezing_field_datadriven_damage"					"DAMAGE:"
		"DOTA_Tooltip_ability_crystal_maiden_freezing_field_datadriven_explosion_damage"		"EXPLOSION DAMAGE:"
		"DOTA_Tooltip_ability_crystal_maiden_freezing_field_datadriven_explosion_radius"		"DAMAGE RADIUS:"
		"DOTA_Tooltip_ability_crystal_maiden_freezing_field_datadriven_radius"					"BLIZZARD RADIUS:"
		"DOTA_Tooltip_ability_crystal_maiden_freezing_field_datadriven_movespeed_slow"			"MOVE SLOW:"
		"DOTA_Tooltip_ability_crystal_maiden_freezing_field_datadriven_attack_slow"				"ATTACK SLOW:"
		"DOTA_Tooltip_ability_crystal_maiden_freezing_field_datadriven_slow_duration"			"SLOW DURATION:"

		"DOTA_Tooltip_ability_warrior_shield_wall"								"Shield Wall"
		"DOTA_Tooltip_warrior_shield_wall"										"Shield Wall"
		"DOTA_Tooltip_ability_warrior_shield_wall_Description"					"The warrior conjures an impenetrable wall around himself. He moves with increased haste. Nearby enemies are damaged and knocked back. While the shielf is active, nearby enemies are damaged."
		"DOTA_Tooltip_ability_warrior_shield_wall_Lore"							""
		"DOTA_Tooltip_ability_warrior_shield_wall_damage"						"DAMAGE:"
		"DOTA_Tooltip_ability_warrior_shield_wall_initial_damage"				"INITIAL DAMAGE:"
		"DOTA_Tooltip_ability_warrior_shield_wall_impact_damage"				"PROXIMITY DAMAGE:"
		"DOTA_Tooltip_ability_warrior_shield_wall_duration"						"DURATION:"

		"DOTA_Tooltip_ability_berserkers_call_datadriven"						"Commanding Shout"
